"question","option_a","option_b","option_c","correct_answer"
"Khi bắt đầu một dự án mới: SEO giúp người dùng và công cụ tìm kiếm làm gì?","Tìm và hiểu nội dung hữu ích","Mua vị trí xếp hạng tự nhiên","Ẩn toàn bộ trang khỏi tìm kiếm","A"
"Khi bắt đầu một dự án mới: Sitemap XML hỗ trợ việc gì?","Giúp công cụ tìm kiếm khám phá URL quan trọng","Bảo đảm mọi URL đứng đầu","Thay thế hoàn toàn liên kết nội bộ","A"
"Khi bắt đầu một dự án mới: Thẻ title nên phục vụ mục đích gì?","Mô tả chính xác nội dung trang","Lặp từ khóa càng nhiều càng tốt","Ẩn chủ đề chính của trang","A"
"Khi bắt đầu một dự án mới: Nội dung hữu ích ưu tiên ai?","Người đọc có nhu cầu thực","Thuật toán thay cho người đọc","Chỉ người viết nội dung","A"
"Khi bắt đầu một dự án mới: Liên kết nội bộ tốt giúp ích gì?","Giúp người dùng và crawler tìm trang liên quan","Tự động tăng ngân sách quảng cáo","Chặn trang đích khỏi index","A"
"Khi bắt đầu một dự án mới: Một URL không muốn xuất hiện trong kết quả tìm kiếm nên dùng gì?","Chỉ thị noindex phù hợp","Chỉ tăng số từ trên trang","Thêm nhiều quảng cáo","A"
"Khi bắt đầu một dự án mới: Vì sao cần kiểm tra trang có được index?","Để phân biệt lỗi khám phá với lỗi xếp hạng","Để thay thế nghiên cứu người dùng","Để bỏ qua nội dung trang","A"
"Khi bắt đầu một dự án mới: Alt text của ảnh nên làm gì?","Mô tả nội dung ảnh trong ngữ cảnh","Nhồi mọi từ khóa có thể","Để trống cho mọi ảnh có ý nghĩa","A"
"Khi bắt đầu một dự án mới: Khi đổi URL quan trọng nên làm gì?","Thiết lập chuyển hướng phù hợp","Xóa mọi liên kết đến trang cũ","Giữ hai bản trùng lặp mãi mãi","A"
"Khi bắt đầu một dự án mới: Canonical được dùng để làm gì?","Báo phiên bản URL đại diện khi nội dung trùng","Đặt giá thầu quảng cáo","Tạo chứng chỉ khóa học","A"
"Khi bắt đầu một dự án mới: Từ khóa nên được chọn dựa trên điều gì?","Nhu cầu tìm kiếm và chủ đề thực của trang","Mật độ lặp từ khóa cố định","Độ dài tên miền","A"
"Khi bắt đầu một dự án mới: Khi viết mô tả cho trang sản phẩm, ưu tiên gì?","Thông tin cụ thể giúp người mua quyết định","Văn bản sao chép hàng loạt","Chỉ liệt kê từ khóa","A"
"Khi bắt đầu một dự án mới: Cấu trúc heading tốt giúp gì?","Giúp người đọc quét và hiểu các phần","Tự tạo backlink","Bỏ qua nội dung chính","A"
"Khi bắt đầu một dự án mới: Vì sao trang di động cần dễ dùng?","Người dùng cần trải nghiệm rõ ràng trên thiết bị của họ","Vì chỉ trang desktop được index","Vì quảng cáo luôn miễn phí","A"
"Khi bắt đầu một dự án mới: Dữ liệu Search Console giúp kiểm tra điều gì?","Hiệu suất và trạng thái hiện diện trên Google Search","Doanh thu mọi kênh không cần cấu hình","Số lượng đơn hàng trong CRM","A"
"Khi bắt đầu một dự án mới: Khi traffic organic giảm, bước đầu hợp lý là gì?","Đối chiếu trang, truy vấn và thời điểm thay đổi","Viết lại toàn bộ website ngay","Xóa tài khoản Search Console","A"
"Khi bắt đầu một dự án mới: Nội dung cập nhật nên dựa trên điều gì?","Thông tin mới thực sự giúp người đọc","Chỉ đổi ngày xuất bản","Chỉ thêm số từ","A"
